                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7495,                 5.2403,                 0.7103,                 3.5539,                 2.2944,                 0.8093,                0.84882,                0.78106,                0.57138,                0.05593,                   0.25,                0.04016,                0.00759,                0.60021,                  6.441,                0.69505,                 1.7894,                 1.2342,                  8e-05,                  8e-05,                  8e-05
                      2,                0.75754,                 4.9755,                0.73129,                 1.5322,                 1.3052,                0.78568,                   0.75,                0.83048,                0.75512,                0.21653,                    0.2,                0.08002,                 0.0116,                0.46972,                 5.6009,                0.68617,                 1.7157,                0.97975,             0.00017822,             0.00017822,             0.00017822
                      3,                0.61228,                 4.1076,                0.70267,                0.84076,                 1.1435,                0.66884,                   0.85,                0.85102,                0.74647,                0.19672,                   0.25,                0.14416,                0.01761,                0.56329,                  5.369,                0.63708,                 2.9252,                 1.0663,             0.00027446,             0.00027446,             0.00027446
                      4,                0.69056,                 3.2826,                0.70894,                0.79201,                 1.1691,                 0.5822,                    0.8,                0.82019,                0.70121,                0.10344,                   0.25,                0.13624,                0.01785,                 0.6269,                 5.8397,                 0.6332,                 2.2496,                 1.1639,             0.00036871,             0.00036871,             0.00036871
                      5,                0.68503,                  3.301,                0.70873,                 0.7354,                 1.1723,                 0.7472,                    0.9,                0.88216,                0.51271,                0.62317,                   0.75,                0.74387,                0.23286,                 1.2171,                 4.0154,                0.52902,                 2.7637,                 2.3569,             0.00046099,             0.00046099,             0.00046099
                      6,                0.66865,                 3.5229,                0.67069,                0.64955,                 1.1369,                0.27564,                    0.9,                0.69408,                0.31548,                 0.2297,                   0.75,                 0.4582,                0.09865,                 1.6479,                 4.3544,                0.48194,                 15.076,                 2.6962,             0.00055129,             0.00055129,             0.00055129
                      7,                0.77299,                 3.5556,                0.67498,                0.93415,                 1.2147,                0.19231,                    0.5,                0.21312,                0.05711,                0.00571,                   0.15,                0.00372,                0.00055,                 1.8318,                 7.7419,                0.47368,                 106.53,                 4.2921,             0.00063961,             0.00063961,             0.00063961
                      8,                0.69088,                 3.1216,                0.65123,                0.76115,                 1.1806,                0.15196,                   0.65,                0.23383,                0.10213,                0.05624,                    0.3,                0.04487,                0.00808,                 2.0361,                 5.4416,                0.42848,                 12.933,                  2.942,             0.00072595,             0.00072595,             0.00072595
                      9,                0.78989,                 2.9511,                0.65498,                0.90565,                 1.2459,                0.02256,                   0.75,                0.02073,                0.00773,                0.00926,                   0.25,                0.00575,                0.00122,                 2.5687,                 7.9153,                0.96266,                 437.47,                 6.8076,              0.0008103,              0.0008103,              0.0008103
                     10,                0.80926,                 2.9701,                0.63821,                 0.7845,                 1.2807,                0.37184,                   0.15,                0.11803,                0.02726,                0.09033,                   0.15,                0.08337,                0.01382,                 3.7745,                 6.6169,                0.74958,                 6.3325,                 5.7875,             0.00089268,             0.00089268,             0.00089268
                     11,                0.81271,                 2.8913,                0.62718,                  0.836,                 1.2807,                 0.0145,                   0.25,                0.00729,                0.00344,                0.01569,                    0.4,                0.01116,                0.00345,                 3.3823,                 6.9831,                0.82502,                 599.63,                 15.985,             0.00097308,             0.00097308,             0.00097308
                     12,                0.94034,                 3.0214,                0.62418,                0.94769,                 1.3957,                0.02963,                   0.65,                0.02568,                0.01337,                0.01943,                    0.6,                0.01604,                0.00421,                 1.9525,                 5.3949,                0.34782,                 294.57,                   4.95,              0.0010515,              0.0010515,              0.0010515
