                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7565,                  8.495,                0.70451,                 3.0438,                 2.0778,                0.88164,                0.82782,                0.89378,                0.71943,                0.00015,                0.02778,                  9e-05,                  1e-05,                0.82127,                 8.8587,                0.67229,                 1.7514,                 1.3463,                0.00014,                0.00014,                0.00014
                      2,                0.86409,                 7.7353,                0.69796,                 1.0749,                 1.2972,                0.81737,                0.87043,                 0.9291,                 0.7625,                      0,                      0,                      0,                      0,                0.86587,                 8.6595,                0.62414,                  1.655,                 1.4878,             0.00029934,             0.00029934,             0.00029934
                      3,                0.83066,                 7.2084,                0.71722,                0.77002,                  1.234,                0.97107,                0.93252,                 0.9647,                0.75906,                      0,                      0,                      0,                      0,                0.77844,                 8.6869,                0.64129,                0.85225,                   1.53,             0.00045798,             0.00045798,             0.00045798
                      4,                0.83237,                 6.7797,                0.71795,                0.77294,                 1.2433,                0.62726,                0.88889,                0.76263,                0.48643,                0.05894,                0.08333,                0.04376,                0.01028,                 1.1956,                 7.7805,                0.64046,                  3.434,                 2.3243,             0.00061591,             0.00061591,             0.00061591
                      5,                0.91575,                 6.6731,                0.71021,                0.75741,                 1.2534,                0.54595,                0.83333,                0.77453,                0.43357,                0.11082,                0.16667,                0.12435,                0.01955,                  1.403,                 7.9437,                0.62655,                 4.9814,                 1.9777,             0.00077314,             0.00077314,             0.00077314
                      6,                0.89448,                 6.4943,                0.69204,                0.80296,                 1.2028,                0.15896,                0.97222,                0.69202,                0.43562,                0.02271,                0.13889,                 0.0313,                0.00431,                 1.2295,                 7.6726,                 0.5771,                 11.123,                 1.9313,             0.00092966,             0.00092966,             0.00092966
                      7,                0.94145,                 6.4024,                0.67635,                0.81193,                 1.2544,                0.20453,                0.41667,                0.24435,                0.09383,                 0.0939,                0.22222,                0.04598,                0.00595,                 2.5665,                 7.7436,                0.56897,                  12.32,                 3.6313,              0.0010855,              0.0010855,              0.0010855
                      8,                 0.9432,                 6.6546,                0.66399,                0.83103,                 1.2501,                0.52221,                0.66667,                0.60453,                0.33093,                0.06252,                0.11111,                0.01819,                0.00195,                 1.4852,                 8.1068,                0.50954,                 4.7292,                 2.4361,              0.0012406,              0.0012406,              0.0012406
                      9,                 1.0294,                 6.1221,                0.64261,                0.87573,                 1.3205,                0.61237,                   0.75,                0.68494,                0.37282,                0.05867,                0.16667,                0.02071,                0.00323,                 1.2244,                 8.2248,                0.45685,                 3.7923,                 1.8781,               0.001395,               0.001395,               0.001395
                     10,                 1.0298,                    6.3,                0.67341,                0.91336,                 1.3322,                0.50477,                   0.75,                0.57396,                0.26186,                0.14401,                   0.25,                0.08435,                0.01902,                 1.5718,                 7.7104,                0.42029,                 5.9137,                 2.0621,              0.0015487,              0.0015487,              0.0015487
                     11,                 1.0304,                 6.0475,                0.64723,                0.85036,                 1.2822,                0.47365,                0.44444,                0.38012,                0.17951,                0.00036,                0.02778,                0.00023,                  2e-05,                 1.8266,                 9.3592,                0.41534,                 4.6123,                 2.7886,              0.0017017,              0.0017017,              0.0017017
                     12,                 1.0887,                 5.8702,                0.66063,                0.92498,                  1.375,                0.35891,                0.88889,                0.62337,                0.32207,                0.02819,                0.08333,                0.00463,                0.00079,                 1.7177,                 8.3313,                 0.3578,                 7.9311,                 2.7233,               0.001854,               0.001854,               0.001854
                     13,                 1.0585,                 6.4285,                0.63979,                0.93068,                 1.3349,                0.20887,                    0.5,                0.21201,                0.05283,                0.00739,                0.02778,                0.00044,                  4e-05,                 2.5823,                 10.009,                0.20883,                 15.342,                  5.684,              0.0019472,              0.0019472,              0.0019472
                     14,                 1.1481,                 5.8662,                0.63027,                0.94233,                 1.4042,                0.27156,                0.27778,                0.14634,                0.05904,                0.16214,                0.13889,                0.04796,                0.01426,                 2.6961,                 7.7155,                0.43134,                 6.4053,                 4.1838,              0.0019428,              0.0019428,              0.0019428
                     15,                 1.0554,                 5.8325,                0.63907,                0.87858,                 1.3347,                0.10736,                0.13889,                0.07303,                0.02343,                0.05345,                0.08333,                 0.0097,                0.00217,                 3.3289,                  8.107,                0.51224,                   8.14,                 4.0302,              0.0019384,              0.0019384,              0.0019384
                     16,                 1.0068,                 5.9238,                0.58747,                0.83593,                 1.2787,                0.29715,                0.66667,                0.34947,                0.13312,                0.16069,                0.27657,                0.05825,                0.01554,                 2.2069,                 7.5568,                0.34645,                 4.3145,                 2.9516,               0.001934,               0.001934,               0.001934
                     17,                  1.069,                 5.5915,                0.60761,                0.87417,                 1.3345,                0.51325,                0.61111,                0.53937,                0.29136,                0.04651,                0.05556,                0.00589,                0.00086,                 1.6619,                   8.48,                0.15943,                 3.4068,                 2.8338,              0.0019296,              0.0019296,              0.0019296
                     18,                 0.9961,                 5.7067,                0.63351,                0.76543,                 1.3176,                0.28682,                0.86111,                0.28007,                 0.1562,                0.04185,                0.11111,                0.00872,                0.00268,                 1.3229,                 8.1696,                0.15865,                 5.2123,                  2.114,              0.0019252,              0.0019252,              0.0019252
                     19,                 0.9785,                 5.5545,                0.60199,                0.81277,                 1.2875,                 0.4055,                0.61111,                0.48071,                0.27913,                0.04452,                0.13889,                0.01238,                0.00239,                 1.5714,                 7.7471,                0.26659,                 2.7005,                 2.2516,              0.0019208,              0.0019208,              0.0019208
                     20,                 1.0205,                 5.7211,                  0.661,                0.77594,                 1.3122,                0.78953,                0.77778,                0.81849,                  0.425,                0.28217,                0.27778,                 0.1148,                0.04038,                 1.4972,                 7.0123,                0.27979,                 1.2356,                 1.9821,              0.0019164,              0.0019164,              0.0019164
                     21,                0.99653,                 5.0334,                 0.6016,                0.79375,                 1.3215,                0.53594,                0.55556,                0.44749,                0.21472,                0.14196,                0.19444,                0.04558,                0.01244,                 1.9206,                 7.9077,                0.27854,                  3.924,                 2.7809,               0.001912,               0.001912,               0.001912
                     22,                0.99312,                 5.4005,                0.62036,                0.77323,                  1.293,                0.79645,                0.66667,                0.75328,                0.38546,                 0.3304,                0.22222,                0.10243,                0.02379,                 1.5411,                 7.6346,                0.24061,                  2.958,                  1.956,              0.0019076,              0.0019076,              0.0019076
                     23,                 1.0273,                 5.7221,                 0.6169,                0.82296,                 1.3264,                0.63346,                0.77778,                0.58413,                0.29674,                0.17622,                0.11111,                0.03388,                0.00743,                  1.865,                 8.2514,                0.18519,                 1.8683,                 2.2888,              0.0019032,              0.0019032,              0.0019032
